comune,tipo_contratto,prezzo,locali,superficie,url_annuncio,data_scraping,zona,macroarea,prezzo_num,superficie_num,locali_num,prezzo_mq,valido
Fara In Sabina,vendita,€ 99.000,2 locali,64 m²,https://www.immobiliare.it/annunci/112795343/,2026-06-09,,Bassa Sabina,99000.0,64.0,2.0,1546.88,1
Fara In Sabina,vendita,€ 79.000,3 locali,65 m²,https://www.immobiliare.it/annunci/116573845/,2026-06-09,,Bassa Sabina,79000.0,65.0,3.0,1215.38,1
Fara In Sabina,vendita,€ 39.000,4 locali,80 m²,https://www.immobiliare.it/annunci/120860458/,2026-06-09,,Bassa Sabina,39000.0,80.0,4.0,487.5,0
Fara In Sabina,vendita,€ 189.000,4 locali,68 m²,https://www.immobiliare.it/annunci/129145008/,2026-06-09,,Bassa Sabina,189000.0,68.0,4.0,2779.41,1
Fara In Sabina,vendita,€ 150.000,3 locali,81 m²,https://www.immobiliare.it/annunci/121757394/,2026-06-09,,Bassa Sabina,150000.0,81.0,3.0,1851.85,1
Fara In Sabina,vendita,€ 102.000,5+ locali,100 m²,https://www.immobiliare.it/annunci/115876977/,2026-06-09,,Bassa Sabina,102000.0,100.0,5.0,1020.0,1
Fara In Sabina,vendita,€ 199.000,2 locali,58 m²,https://www.immobiliare.it/annunci/128875756/,2026-06-09,,Bassa Sabina,199000.0,58.0,2.0,3431.03,1
Fara In Sabina,vendita,€ 132.000,,35 m²,https://www.immobiliare.it/annunci/128875732/,2026-06-09,,Bassa Sabina,132000.0,35.0,,3771.43,1
Fara In Sabina,vendita,€ 164.000,,44 m²,https://www.immobiliare.it/annunci/128875742/,2026-06-09,,Bassa Sabina,164000.0,44.0,,3727.27,1
Fara In Sabina,vendita,€ 236.000,2 locali,68 m²,https://www.immobiliare.it/annunci/128875774/,2026-06-09,,Bassa Sabina,236000.0,68.0,2.0,3470.59,1
Fara In Sabina,vendita,€ 240.000,2 locali,70 m²,https://www.immobiliare.it/annunci/128875802/,2026-06-09,,Bassa Sabina,240000.0,70.0,2.0,3428.57,1
Fara In Sabina,vendita,€ 274.000,3 locali,80 m²,https://www.immobiliare.it/annunci/128875816/,2026-06-09,,Bassa Sabina,274000.0,80.0,3.0,3425.0,1
Fara In Sabina,vendita,€ 219.000,2 locali,64 m²,https://www.immobiliare.it/annunci/128875766/,2026-06-09,,Bassa Sabina,219000.0,64.0,2.0,3421.88,1
Fara In Sabina,vendita,€ 250.000,2 locali,73 m²,https://www.immobiliare.it/annunci/128875810/,2026-06-09,,Bassa Sabina,250000.0,73.0,2.0,3424.66,1
Fara In Sabina,vendita,€ 205.000,2 locali,57 m²,https://www.immobiliare.it/annunci/128875762/,2026-06-09,,Bassa Sabina,205000.0,57.0,2.0,3596.49,1
Fara In Sabina,vendita,€ 176.000,2 locali,51 m²,https://www.immobiliare.it/annunci/128875750/,2026-06-09,,Bassa Sabina,176000.0,51.0,2.0,3450.98,1
Fara In Sabina,vendita,€ 99.000,4 locali,104 m²,https://www.immobiliare.it/annunci/129235540/,2026-06-09,,Bassa Sabina,99000.0,104.0,4.0,951.92,1
Fara In Sabina,vendita,€ 127.000,,36 m²,https://www.immobiliare.it/annunci/128875730/,2026-06-09,,Bassa Sabina,127000.0,36.0,,3527.78,1
Fara In Sabina,vendita,€ 59.000,,31 m²,https://www.immobiliare.it/annunci/123453907/,2026-06-09,,Bassa Sabina,59000.0,31.0,,1903.23,1
Fara In Sabina,vendita,€ 39.000,,41 m²,https://www.immobiliare.it/annunci/128048752/,2026-06-09,,Bassa Sabina,39000.0,41.0,,951.22,1
Fara In Sabina,vendita,"da € 13.650,00",2 locali,79 m²,https://www.immobiliare.it/annunci/129403276/,2026-06-09,,Bassa Sabina,13650.0,79.0,2.0,172.78,0
Fara In Sabina,vendita,"da € 11.454,37",5 locali,112 m²,https://www.immobiliare.it/annunci/123150105/,2026-06-09,,Bassa Sabina,11454.0,112.0,5.0,102.27,0
Fara In Sabina,vendita,"da € 161.100,00",3 locali,171 m²,https://www.immobiliare.it/annunci/127716396/,2026-06-09,,Bassa Sabina,161100.0,171.0,3.0,942.11,0
Fara In Sabina,vendita,€ 65.000,,42 m²,https://www.immobiliare.it/annunci/127733642/,2026-06-09,,Bassa Sabina,65000.0,42.0,,1547.62,1
Fara In Sabina,vendita,"da € 161.090,00",3 locali,171 m²,https://www.immobiliare.it/annunci/127598460/,2026-06-09,,Bassa Sabina,161090.0,171.0,3.0,942.05,0
Fara In Sabina,vendita,€ 74.000,2 locali,75 m²,https://www.immobiliare.it/annunci/128552636/,2026-06-09,,Bassa Sabina,74000.0,75.0,2.0,986.67,1
Fara In Sabina,vendita,€ 240.000,4 locali,103 m²,https://www.immobiliare.it/annunci/123359805/,2026-06-09,,Bassa Sabina,240000.0,103.0,4.0,2330.1,1
Fara In Sabina,vendita,€ 119.000,3 locali,65 m²,https://www.immobiliare.it/annunci/121259712/,2026-06-09,,Bassa Sabina,119000.0,65.0,3.0,1830.77,1
Fara In Sabina,vendita,€ 119.000,3 locali,65 m²,https://www.immobiliare.it/annunci/128238088/,2026-06-09,,Bassa Sabina,119000.0,65.0,3.0,1830.77,1
Fara In Sabina,vendita,€ 65.000,3 locali,70 m²,https://www.immobiliare.it/annunci/115132379/,2026-06-09,,Bassa Sabina,65000.0,70.0,3.0,928.57,1
Fara In Sabina,vendita,"da € 161.100,00",5+ locali,85 m²,https://www.immobiliare.it/annunci/127765986/,2026-06-09,,Bassa Sabina,161100.0,85.0,5.0,1895.29,0
Fara In Sabina,vendita,€ 259.000,5+ locali,134 m²,https://www.immobiliare.it/annunci/128695496/,2026-06-09,,Bassa Sabina,259000.0,134.0,5.0,1932.84,1
Fara In Sabina,vendita,€ 45.000,5 locali,157 m²,https://www.immobiliare.it/annunci/129059128/,2026-06-09,,Bassa Sabina,45000.0,157.0,5.0,286.62,0
Fara In Sabina,vendita,€ 150.000,4 locali,130 m²,https://www.immobiliare.it/annunci/103445558/,2026-06-09,,Bassa Sabina,150000.0,130.0,4.0,1153.85,1
Fara In Sabina,vendita,€ 150.000,5 locali,110 m²,https://www.immobiliare.it/annunci/129674050/,2026-06-09,,Bassa Sabina,150000.0,110.0,5.0,1363.64,1
Fara In Sabina,vendita,€ 140.000,5+ locali,200 m²,https://www.immobiliare.it/annunci/120970982/,2026-06-09,,Bassa Sabina,140000.0,200.0,5.0,700.0,1
Fara In Sabina,vendita,€ 280.000,3 locali,87 m²,https://www.immobiliare.it/annunci/128136104/,2026-06-09,,Bassa Sabina,280000.0,87.0,3.0,3218.39,1
Fara In Sabina,vendita,€ 210.000,2 locali,65 m²,https://www.immobiliare.it/annunci/128135926/,2026-06-09,,Bassa Sabina,210000.0,65.0,2.0,3230.77,1
Fara In Sabina,vendita,€ 149.000,4 locali,115 m²,https://www.immobiliare.it/annunci/129057462/,2026-06-09,,Bassa Sabina,149000.0,115.0,4.0,1295.65,1
Fara In Sabina,vendita,€ 149.000,4 locali,115 m²,https://www.immobiliare.it/annunci/128368396/,2026-06-09,,Bassa Sabina,149000.0,115.0,4.0,1295.65,1
Fara In Sabina,vendita,€ 69.000,3 locali,81 m²,https://www.immobiliare.it/annunci/128775622/,2026-06-09,,Bassa Sabina,69000.0,81.0,3.0,851.85,1
Fara In Sabina,vendita,€ 99.000,3 locali,93 m²,https://www.immobiliare.it/annunci/123404405/,2026-06-09,,Bassa Sabina,99000.0,93.0,3.0,1064.52,1
Fara In Sabina,vendita,€ 169.000,4 locali,150 m²,https://www.immobiliare.it/annunci/128099392/,2026-06-09,,Bassa Sabina,169000.0,150.0,4.0,1126.67,1
Fara In Sabina,vendita,€ 69.000,2 locali,75 m²,https://www.immobiliare.it/annunci/104059737/,2026-06-09,,Bassa Sabina,69000.0,75.0,2.0,920.0,1
Fara In Sabina,vendita,€ 185.000,5+ locali,230 m²,https://www.immobiliare.it/annunci/122873414/,2026-06-09,,Bassa Sabina,185000.0,230.0,5.0,804.35,1
Fara In Sabina,vendita,€ 290.000,3 locali,90 m²,https://www.immobiliare.it/annunci/128135380/,2026-06-09,,Bassa Sabina,290000.0,90.0,3.0,3222.22,1
Fara In Sabina,vendita,€ 200.000,2 locali,67 m²,https://www.immobiliare.it/annunci/128135170/,2026-06-09,,Bassa Sabina,200000.0,67.0,2.0,2985.07,1
